Hugo_Symbol,n_variants,n_artifacts,artifact_rate,mean_probability,median_probability
LAMA2,17,15,0.8823529411764706,0.8662731256339823,0.9713327
PPP1R3A,18,15,0.8333333333333334,0.8921114138888888,0.9759323
TRIO,18,15,0.8333333333333334,0.7929213853272222,0.9156181750000001
ZFHX3,19,15,0.7894736842105263,0.8063054725263158,0.9789261
ANK2,21,15,0.7142857142857143,0.8351339219047619,0.97130394
COL14A1,22,15,0.6818181818181818,0.7023072086239384,0.976477355
FBN2,22,15,0.6818181818181818,0.7725392498181818,0.858313975
MYH1,23,15,0.6521739130434783,0.6825955021386745,0.9081597
SACS,23,15,0.6521739130434783,0.6832559081844609,0.87807703
SYNE2,23,15,0.6521739130434783,0.6720187421490261,0.91149807
TEX15,24,15,0.625,0.7418210256529166,0.9730053
TAF1L,29,15,0.5172413793103449,0.6176367210624121,0.84524035
DNAH8,30,15,0.5,0.6139012199499573,0.74118787
ARHGEF5,15,14,0.9333333333333333,0.9457321646666668,0.989237
ABCB4,17,14,0.8235294117647058,0.8624364582352941,0.9840388
LAMB4,17,14,0.8235294117647058,0.8123808735882353,0.97900736
TLL1,17,14,0.8235294117647058,0.8009848590015961,0.9344201
GABRA6,18,14,0.7777777777777778,0.7756896083888889,0.9302621
ZAN,21,14,0.6666666666666666,0.7088616078047619,0.9639204
FLNA,22,14,0.6363636363636364,0.6457541005918727,0.9318771349999999
MYH13,22,14,0.6363636363636364,0.6838767346005521,0.9420903
FRAS1,26,14,0.5384615384615384,0.5629668978108823,0.88324145
IDH1,26,14,0.5384615384615384,0.5983748171087039,0.8059761999999999
TECTA,26,14,0.5384615384615384,0.6637902235665,0.85665385
DOCK5,31,14,0.45161290322580644,0.5203128411871049,0.66935885
PTPN3,14,13,0.9285714285714286,0.8522750115,0.9463191
FREM2,15,13,0.8666666666666667,0.8555789866666667,0.9622369
NME8,15,13,0.8666666666666667,0.889080684,0.98474103
OR5D13,15,13,0.8666666666666667,0.8790242633333333,0.9237843
SAMD9,15,13,0.8666666666666667,0.8825697193333333,0.97741514
TRPV6,15,13,0.8666666666666667,0.8997551753333333,0.9771847
CALN1,16,13,0.8125,0.8297695297211874,0.98254615
EXPH5,16,13,0.8125,0.879739630625,0.991315385
GALNT17,16,13,0.8125,0.87143921625,0.9625243649999999
GRIN2B,17,13,0.7647058823529411,0.8095077854117647,0.9723832
ITPR3,17,13,0.7647058823529411,0.7741451078488605,0.9548278
MECOM,17,13,0.7647058823529411,0.7413689836823529,0.9243684
NLRP7,18,13,0.7222222222222222,0.8005074966666667,0.961165635
SCN10A,19,13,0.6842105263157895,0.7480896359368421,0.94971687
SETD2,19,13,0.6842105263157895,0.7086106407363159,0.9510621
NLRP12,20,13,0.65,0.6748917278246954,0.8962870199999999
PTPRT,20,13,0.65,0.7688526155,0.96851585
MUC5B,21,13,0.6190476190476191,0.6118605211705279,0.95277774
NLRP4,21,13,0.6190476190476191,0.711663486468381,0.95257264
PRDM9,21,13,0.6190476190476191,0.7397464876320811,0.8613643
CENPF,22,13,0.5909090909090909,0.6213489361958541,0.90335752
XIRP2,27,13,0.48148148148148145,0.6440885498740949,0.72917485
RYR3,29,13,0.4482758620689655,0.5425187804796702,0.5397586
NLRP13,13,12,0.9230769230769231,0.8966835784615385,0.9891951
CALCR,15,12,0.8,0.7779154634485688,0.97136366
COL11A1,15,12,0.8,0.8176087146666667,0.9695584
F8,15,12,0.8,0.8006128920000124,0.9743192
MYH11,15,12,0.8,0.831983332,0.9226204
ADAM29,16,12,0.75,0.77718357327385,0.9146052
F5,16,12,0.75,0.72824547384375,0.899587175
ZNF208,16,12,0.75,0.7373299611218398,0.973456885
CASR,17,12,0.7058823529411765,0.7681190534117647,0.97469556
KEL,17,12,0.7058823529411765,0.77670110214712,0.967612
POM121L12,17,12,0.7058823529411765,0.7044460767270486,0.93849605
SPEG,17,12,0.7058823529411765,0.7290709479829103,0.971993
BRCA2,18,12,0.6666666666666666,0.6891742184333334,0.9591023999999999
HECTD4,18,12,0.6666666666666666,0.6914401270107513,0.85232155
PCDHB7,18,12,0.6666666666666666,0.7895156869444445,0.9572691799999999
GRM8,19,12,0.631578947368421,0.6901228392115728,0.9524793
HECW1,19,12,0.631578947368421,0.6978830515031352,0.97386736
KIAA1109,19,12,0.631578947368421,0.7128267245157895,0.96980155
C3,20,12,0.6,0.654003558028872,0.9228225299999999
CDH18,20,12,0.6,0.6818698660409324,0.9249415999999999
TENM1,20,12,0.6,0.6631944254373375,0.92615083
TRPM6,20,12,0.6,0.6822776072676315,0.952877325
NOS1,22,12,0.5454545454545454,0.6049338671750468,0.832592985
SCN9A,22,12,0.5454545454545454,0.6321319606574719,0.818318
DNAH9,24,12,0.5,0.669666550505,0.7436484999999999
SLIT3,24,12,0.5,0.5857529990207797,0.76323685
LRP1B,26,12,0.46153846153846156,0.5707942047076924,0.630049725
DNAH10,27,12,0.4444444444444444,0.46236739655289477,0.2559602
TMEM132D,28,12,0.42857142857142855,0.5210919887306142,0.5338812
CR2,12,11,0.9166666666666666,0.906676825,0.973986025
OR5H2,12,11,0.9166666666666666,0.8723610125501167,0.963290395
TRPV5,12,11,0.9166666666666666,0.9383221158333334,0.9906901
ABCB5,13,11,0.8461538461538461,0.8482392709230768,0.9843387
FRMPD4,13,11,0.8461538461538461,0.797914843886923,0.9711415
NIPBL,13,11,0.8461538461538461,0.8867521965384615,0.9899922
PCDH19,13,11,0.8461538461538461,0.8125639102146154,0.9697203
PCDHA13,13,11,0.8461538461538461,0.8707233515384616,0.94202167
ZNF493,13,11,0.8461538461538461,0.7993765617615385,0.9545892
CDK5RAP2,14,11,0.7857142857142857,0.7714332740619781,0.9393285
COL12A1,14,11,0.7857142857142857,0.8015468347397142,0.96648465
ERICH3,14,11,0.7857142857142857,0.8305146514285714,0.936375475
PTPRN2,14,11,0.7857142857142857,0.7889630980571428,0.984769255
TAF1,14,11,0.7857142857142857,0.7709975682628879,0.9778907349999999
ZNF462,14,11,0.7857142857142857,0.7973427792722393,0.9829167000000001
CARD6,15,11,0.7333333333333333,0.7460593116666666,0.8834931
ADAMTS16,16,11,0.6875,0.7191796110105535,0.9314610750000001
DYNC1H1,16,11,0.6875,0.6890358482084139,0.9449396699999999
EPB41L3,16,11,0.6875,0.77290110125,0.867711065
RNF17,16,11,0.6875,0.6769040837543799,0.979772115
ATR,17,11,0.6470588235294118,0.6537916823580212,0.8823663
UGGT1,17,11,0.6470588235294118,0.7277561191490001,0.9465989
ABCC9,18,11,0.6111111111111112,0.7204671142969056,0.851486235
ANK1,18,11,0.6111111111111112,0.6780141111335589,0.92499303
HSPG2,18,11,0.6111111111111112,0.7131237420227777,0.886491785
KIF16B,18,11,0.6111111111111112,0.8208706438888889,0.938605025
PKHD1L1,18,11,0.6111111111111112,0.6514465038823334,0.95691987
FLG2,19,11,0.5789473684210527,0.7063209205263158,0.7930646
RESF1,19,11,0.5789473684210527,0.6621278180087803,0.89883935
HRNR,20,11,0.55,0.65296525904185,0.868453385
QSER1,20,11,0.55,0.6394054001358149,0.8094072999999999
USP9X,21,11,0.5238095238095238,0.504220563660042,0.8961361
TENM3,22,11,0.5,0.540593978288144,0.72702015
VWF,23,11,0.4782608695652174,0.6403425468326217,0.7229405
DOCK8,24,11,0.4583333333333333,0.5154534141715049,0.621415135
EP400,25,11,0.44,0.5775195161208,0.5543636
MXRA5,25,11,0.44,0.48133161290295284,0.42689544
HCN1,26,11,0.4230769230769231,0.4981027629908805,0.44597485000000003
ACAD10,10,10,1.0,0.95114582,0.9778279000000001
CPNE8,10,10,1.0,0.9570475780000001,0.9907952
LPA,10,10,1.0,0.93330487,0.97086692
SPATA31D1,11,10,0.9090909090909091,0.8548766935431454,0.9671852
TTC21A,11,10,0.9090909090909091,0.8443976878888351,0.96392596
URGCP,11,10,0.9090909090909091,0.8820596074117909,0.98907745
ADCY1,12,10,0.8333333333333334,0.8122641201190858,0.9901940499999999
CNTN6,12,10,0.8333333333333334,0.87164816,0.9765697799999999
CYP4F22,12,10,0.8333333333333334,0.8337027008333333,0.98314205
UBE3C,12,10,0.8333333333333334,0.8145522996166666,0.9429475700000001
ABCA1,13,10,0.7692307692307693,0.7940285015511215,0.98477894
CLCN1,13,10,0.7692307692307693,0.8066602092307692,0.986033
CPAMD8,13,10,0.7692307692307693,0.7561073843026678,0.9701798
ENPP2,13,10,0.7692307692307693,0.82160983,0.9172091
OR5W2,13,10,0.7692307692307693,0.7588607959769231,0.90707725
PREX1,13,10,0.7692307692307693,0.7958065968578154,0.97461116
RFX6,13,10,0.7692307692307693,0.8396669246153846,0.9161507
CAMTA1,14,10,0.7142857142857143,0.7996867735714286,0.88625515
DENND2C,14,10,0.7142857142857143,0.7325632642091572,0.944414945
FBN3,14,10,0.7142857142857143,0.702744607882658,0.89352535
MYH8,14,10,0.7142857142857143,0.7168872080895794,0.97921263
NLRP2,14,10,0.7142857142857143,0.7927424964285714,0.92523667
PEG3,14,10,0.7142857142857143,0.7096231403263572,0.896440575
ABCA13,15,10,0.6666666666666666,0.6904373194826025,0.9214332
EPHA8,15,10,0.6666666666666666,0.6654751768918089,0.92383873
SRRM2,15,10,0.6666666666666666,0.7309896575666667,0.9762896
ALPK2,16,10,0.625,0.753018027734375,0.967294615
CACNA2D1,16,10,0.625,0.7048882583125,0.9443622
CMYA5,16,10,0.625,0.7238442251046981,0.95448208
DSG4,16,10,0.625,0.6978538580261162,0.92893682
GLI3,16,10,0.625,0.7138991475,0.9466202699999999
ITPR2,16,10,0.625,0.7325471842403775,0.92829175
LRP1,16,10,0.625,0.6889839083125,0.8780614499999999
SPATA31A1,16,10,0.625,0.6797007978796262,0.9082418999999999
ELMO1,17,10,0.5882352941176471,0.7103257564110224,0.90835404
ENPEP,17,10,0.5882352941176471,0.6809852248425519,0.8742426
FBN1,17,10,0.5882352941176471,0.6873134821,0.9169427
NLRP3,17,10,0.5882352941176471,0.6236959882148716,0.89605117
TSHZ2,17,10,0.5882352941176471,0.6850360261705882,0.94059616
ZFP42,17,10,0.5882352941176471,0.665557007102362,0.98140806
ABCC5,18,10,0.5555555555555556,0.6234762131185874,0.80574115
BIRC6,18,10,0.5555555555555556,0.5721153886331465,0.91737318
ITGAD,18,10,0.5555555555555556,0.5702064992122464,0.86741665
CACNA1S,19,10,0.5263157894736842,0.7029671339144737,0.82233113
MYH2,20,10,0.5,0.5828721614496628,0.7761331
PCDHA1,20,10,0.5,0.6076772281394,0.784890275
PDGFRA,20,10,0.5,0.5898180564740192,0.7968736999999999
DNAH17,21,10,0.47619047619047616,0.554110852264365,0.6519642
DMD,25,10,0.4,0.460026625248721,0.36880147
CHD1,9,9,1.0,0.9527680733333332,0.9853284
TPTE,9,9,1.0,0.9668843477777779,0.98955464
VPS50,9,9,1.0,0.9692941811111111,0.9909574
ZPBP,9,9,1.0,0.9597820044444444,0.9805731
ANO3,10,9,0.9,0.9054820809999999,0.99013565
AREL1,10,9,0.9,0.849806983,0.9627007000000001
CDK13,10,9,0.9,0.918918758,0.98332876
COL28A1,10,9,0.9,0.881088915,0.9671293249999999
FAM120B,10,9,0.9,0.8865932214986,0.98920268
FANCD2,10,9,0.9,0.894110663,0.9830753000000001
LDLR,10,9,0.9,0.900512749,0.953266775
MED13L,10,9,0.9,0.9017922589999999,0.9861770000000001
PON1,10,9,0.9,0.87303364565,0.9787177
PTPRZ1,10,9,0.9,0.938738256,0.98279505
RAB3GAP2,10,9,0.9,0.854104704,0.9352549299999999
SEPTIN4,10,9,0.9,0.8653786400000136,0.9863772749999999
TDRD7,10,9,0.9,0.861416849,0.9790952749999999
ADAMTS2,11,9,0.8181818181818182,0.8534925154589991,0.9779448
AMPD1,11,9,0.8181818181818182,0.8653531036363638,0.93673617
AOC1,11,9,0.8181818181818182,0.7833031775012728,0.9755755
CNTNAP1,11,9,0.8181818181818182,0.8418920318181818,0.95578355
GEMIN5,11,9,0.8181818181818182,0.7828025807636364,0.93627256
LARP1,11,9,0.8181818181818182,0.7928895415116027,0.9878655
MAP1B,11,9,0.8181818181818182,0.90646537,0.9799313
NLRP11,11,9,0.8181818181818182,0.8039911692752368,0.98338425
SLC6A18,11,9,0.8181818181818182,0.8068547849600001,0.9828181
TRPM3,11,9,0.8181818181818182,0.8712763801818183,0.99072343
AFM,12,9,0.75,0.7473503144254167,0.9168878650000001
ARHGAP21,12,9,0.75,0.7545761782500001,0.98293805
CENPE,12,9,0.75,0.7530980458583333,0.90627412
COBL,12,9,0.75,0.818881445,0.986024975
COL24A1,12,9,0.75,0.7661015139333333,0.9905193
KALRN,12,9,0.75,0.7542746365133333,0.9711527799999999
KIAA1210,12,9,0.75,0.7210033962038348,0.96965155
KLK15,12,9,0.75,0.7292188145591667,0.9754044500000001
NRXN3,12,9,0.75,0.7198543635336917,0.96683522
PDE1C,12,9,0.75,0.8190040033333333,0.98193715
PTPN11,12,9,0.75,0.8079889825,0.9765297
SAMD9L,12,9,0.75,0.7615931803833332,0.96883075
SBNO1,12,9,0.75,0.798537975,0.98786635
SLC5A7,12,9,0.75,0.7383754815133333,0.87986337
UTRN,12,9,0.75,0.7357292709416666,0.979498805
CNTN1,13,9,0.6923076923076923,0.7437200484615385,0.956087
CUBN,13,9,0.6923076923076923,0.665090370746028,0.97625494
LRBA,13,9,0.6923076923076923,0.7241752717807692,0.9483938
PCDHB15,13,9,0.6923076923076923,0.8134291656153846,0.9785775
PREX2,13,9,0.6923076923076923,0.757049154,0.9384528
SALL4,13,9,0.6923076923076923,0.7464517526923077,0.9727811
VAV1,13,9,0.6923076923076923,0.7653481758561539,0.9623877
ANO4,14,9,0.6428571428571429,0.7781497592857143,0.9204413
ASH1L,14,9,0.6428571428571429,0.7901871375428572,0.94074115
CFTR,14,9,0.6428571428571429,0.6705862719355214,0.9911839
LY75,14,9,0.6428571428571429,0.7117892725214287,0.915398775
MC3R,14,9,0.6428571428571429,0.8015034875,0.9766136750000001
MYO3A,14,9,0.6428571428571429,0.6473884729148851,0.962207665
MYOCD,14,9,0.6428571428571429,0.6392464792057682,0.97195597
SLC9A4,14,9,0.6428571428571429,0.7362481000714285,0.916974975
SVEP1,14,9,0.6428571428571429,0.6590628724092998,0.94756628
UGT3A2,14,9,0.6428571428571429,0.697573603875,0.955710015
WDFY3,14,9,0.6428571428571429,0.6865188478928571,0.9746263049999999
CACNA1B,15,9,0.6,0.64632948941573,0.9192816
CIT,15,9,0.6,0.7664519746666667,0.92415893
DYNC1I1,15,9,0.6,0.7035635313009426,0.9333453
HERC2P3,15,9,0.6,0.640553863934576,0.93314224
KIF4B,15,9,0.6,0.6537392221425333,0.925706
MAG,15,9,0.6,0.6062330262316246,0.9398833
POLE,15,9,0.6,0.6912956457066667,0.9755996
TLR7,15,9,0.6,0.5985879661481813,0.9141025
VPS13B,15,9,0.6,0.73424682,0.9367499
BDP1,16,9,0.5625,0.6629886783776875,0.92891045
CHD9,16,9,0.5625,0.6397594143963062,0.922882025
FAT1,16,9,0.5625,0.6431029942300125,0.9480943
ZDBF2,16,9,0.5625,0.6189482760152756,0.8741795
ADGRF5,17,9,0.5294117647058824,0.5446745598094775,0.7673681
FGD5,17,9,0.5294117647058824,0.62813213489,0.7753797
MYH6,17,9,0.5294117647058824,0.5606877561282353,0.9033024
NWD1,17,9,0.5294117647058824,0.6957913806439335,0.8106452
SCN5A,17,9,0.5294117647058824,0.594313914143174,0.9221423
ADCY10,18,9,0.5,0.6005047155944445,0.65938434
CD163L1,18,9,0.5,0.6149736015123091,0.744273185
ESPL1,18,9,0.5,0.5179198164331446,0.595471225
GRIP1,18,9,0.5,0.5815858693779444,0.75884235
HERC2,18,9,0.5,0.6304792513539093,0.7796236700000001
NAV2,19,9,0.47368421052631576,0.5642558557599999,0.55894697
SLIT2,19,9,0.47368421052631576,0.6317165418035839,0.57547987
ASPM,20,9,0.45,0.59869414291,0.6360674500000001
KSR2,20,9,0.45,0.543250563064647,0.57842481
PLCG2,21,9,0.42857142857142855,0.49915523558095237,0.3520107
ADAM22,8,8,1.0,0.97357252,0.98333485
BAZ1A,8,8,1.0,0.93774557875,0.9580188000000001
CDK12,8,8,1.0,0.9551303987499999,0.99131122
KMT2E,8,8,1.0,0.96866196125,0.98952387
NRP2,8,8,1.0,0.927485755,0.9645516199999999
OR2A7,8,8,1.0,0.9746524125,0.9825585
AC004593.2,9,8,0.8888888888888888,0.86658741518,0.9779252
BRAF,9,8,0.8888888888888888,0.889321588888889,0.9666452
BRCA1,9,8,0.8888888888888888,0.8566485696448982,0.97182906
CSF2RA,9,8,0.8888888888888888,0.9422714066666666,0.9906783
CTNND2,9,8,0.8888888888888888,0.8141436894444445,0.8734513
CUL9,9,8,0.8888888888888888,0.8610227859844444,0.989858
DGKK,9,8,0.8888888888888888,0.8170171211111976,0.9219393
EEF1A1,9,8,0.8888888888888888,0.9196147411111111,0.98544496
ENAM,9,8,0.8888888888888888,0.8416237566666667,0.8118652
HECTD1,9,8,0.8888888888888888,0.9159780488888889,0.98523545
KDM7A,9,8,0.8888888888888888,0.875091839,0.9885684
KRT16,9,8,0.8888888888888888,0.8784286744444444,0.9579982
MMRN1,9,8,0.8888888888888888,0.9016060311111112,0.9790325
MYH7,9,8,0.8888888888888888,0.9460042888888888,0.979054
NPTX2,9,8,0.8888888888888888,0.9335422722222222,0.982216
PCDH18,9,8,0.8888888888888888,0.9492802122222224,0.98877466
PLCH1,9,8,0.8888888888888888,0.9183913011111111,0.98975605
SEMG2,9,8,0.8888888888888888,0.8622009074109489,0.9766024
SRGAP3,9,8,0.8888888888888888,0.8368465943018889,0.9331936
SSTR4,9,8,0.8888888888888888,0.9131823722222223,0.9795854
TYR,9,8,0.8888888888888888,0.8667360577777778,0.9705395
XRN1,9,8,0.8888888888888888,0.9099125222222223,0.9889693
ZNF532,9,8,0.8888888888888888,0.8944415544444444,0.97032017
ZNFX1,9,8,0.8888888888888888,0.9517162133333333,0.9882883
ARAP2,10,8,0.8,0.8271462967290001,0.970589015
C6,10,8,0.8,0.817842132,0.96620018
CARD11,10,8,0.8,0.77678645493,0.9592383
CDH1,10,8,0.8,0.906920439,0.9879526
CR1,10,8,0.8,0.818329479,0.9853021
CYLD,10,8,0.8,0.8549629927,0.9782042150000001
HEATR5B,10,8,0.8,0.85252554952212,0.97236173
HTR3A,10,8,0.8,0.79356816559,0.97200715
IGSF9,10,8,0.8,0.851517376,0.985201115
ITGA4,10,8,0.8,0.7778231573900001,0.9640522
OPN5,10,8,0.8,0.832890465000044,0.959042195
PAPPA2,10,8,0.8,0.8193302680000001,0.9754227799999999
PPL,10,8,0.8,0.7606771982743,0.9540206499999999
PPP4R4,10,8,0.8,0.8316881125,0.9462418699999999
SLC9C1,10,8,0.8,0.7785648610940707,0.95304488
STXBP5L,10,8,0.8,0.813297207,0.9721525
SYDE2,10,8,0.8,0.8196135734635099,0.9884809
TIMD4,10,8,0.8,0.8497259789999999,0.89193568
VIRMA,10,8,0.8,0.850090123505782,0.96928477
ZNF335,10,8,0.8,0.791800328,0.9794802499999999
BMS1,11,8,0.7272727272727273,0.7175960823677909,0.9811193
BRWD3,11,8,0.7272727272727273,0.7036791555418183,0.90832543
CDCP1,11,8,0.7272727272727273,0.7931874286581819,0.96589
COL6A2,11,8,0.7272727272727273,0.7248532528454545,0.9253235
DSCAM,11,8,0.7272727272727273,0.8159640718181819,0.97212976
GABRA4,11,8,0.7272727272727273,0.6974780547033973,0.97074014
KCNV1,11,8,0.7272727272727273,0.724047669398061,0.9393661
KMT2A,11,8,0.7272727272727273,0.7105145961818181,0.9760656
OR8K3,11,8,0.7272727272727273,0.8040783842225455,0.9487583
PCDH15,11,8,0.7272727272727273,0.6994479403538305,0.9869398
PCK1,11,8,0.7272727272727273,0.7428910327274636,0.9748576
PHLDB2,11,8,0.7272727272727273,0.7611958227272727,0.9862765
PTPRM,11,8,0.7272727272727273,0.7114756629820088,0.9151347
RP1L1,11,8,0.7272727272727273,0.7683153506,0.96394587
SCN1A,11,8,0.7272727272727273,0.7267597207821818,0.9200744
SHROOM3,11,8,0.7272727272727273,0.7438557809090909,0.9735792
SLC26A3,11,8,0.7272727272727273,0.9090426209090908,0.9867849
VCAN,11,8,0.7272727272727273,0.7780417324181819,0.98356146
WNT2,11,8,0.7272727272727273,0.718112457503,0.9646711
XIRP1,11,8,0.7272727272727273,0.7144160662030419,0.92365336
ZC3H13,11,8,0.7272727272727273,0.7593005682454546,0.9426088
ZNF99,11,8,0.7272727272727273,0.7763641758904747,0.98873925
ASXL1,12,8,0.6666666666666666,0.721825666775,0.969020175
BSN,12,8,0.6666666666666666,0.6671880883295435,0.9482140649999999
C9orf131,12,8,0.6666666666666666,0.7332344757481167,0.957738035
CACNA1D,12,8,0.6666666666666666,0.691118773,0.9225198
CD33,12,8,0.6666666666666666,0.7593995808333333,0.96981138
CEMIP2,12,8,0.6666666666666666,0.6508827110079062,0.875832735
CHGB,12,8,0.6666666666666666,0.7151987474946684,0.9167387499999999
COL6A6,12,8,0.6666666666666666,0.6954711192865322,0.902983415
CPS1,12,8,0.6666666666666666,0.7724338958333333,0.93100863
EGF,12,8,0.6666666666666666,0.7098637989166666,0.8442544949999999
FLNB,12,8,0.6666666666666666,0.6785689583092082,0.935460975
FLT4,12,8,0.6666666666666666,0.7211021368,0.8943736499999999
GABRB2,12,8,0.6666666666666666,0.7130856406666667,0.8573608699999999
GFRAL,12,8,0.6666666666666666,0.7080237794166666,0.932458725
KCNQ5,12,8,0.6666666666666666,0.6852226619902821,0.877219025
MDN1,12,8,0.6666666666666666,0.6730719448583334,0.93952115
MYO1D,12,8,0.6666666666666666,0.7018986866666667,0.864665835
NLRP8,12,8,0.6666666666666666,0.7308665666666667,0.972553045
PLCL1,12,8,0.6666666666666666,0.7268264520284659,0.883325175
PTPRD,12,8,0.6666666666666666,0.6411950676683537,0.939904065
SEMA3C,12,8,0.6666666666666666,0.7020751639831707,0.9483976949999999
SLC1A6,12,8,0.6666666666666666,0.7235045172656136,0.97438252
STK31,12,8,0.6666666666666666,0.7774433716666667,0.976976385
TLN1,12,8,0.6666666666666666,0.7584862176666666,0.9377231800000001
AKAP13,13,8,0.6153846153846154,0.67248961,0.9012079
AL592490.1,13,8,0.6153846153846154,0.7367534931538462,0.97767663
CIITA,13,8,0.6153846153846154,0.5953075921026214,0.8303927
COL4A6,13,8,0.6153846153846154,0.5933766743632961,0.9192579
FAM47B,13,8,0.6153846153846154,0.6183461578602223,0.82905465
GLI2,13,8,0.6153846153846154,0.5786811440695262,0.9347777
GON4L,13,8,0.6153846153846154,0.6211308141552865,0.8981675
MYCBP2,13,8,0.6153846153846154,0.6717448733942507,0.93780905
NTSR1,13,8,0.6153846153846154,0.6577760362340221,0.9293701
PCDHA8,13,8,0.6153846153846154,0.6405291026577896,0.97063476
PCDHB5,13,8,0.6153846153846154,0.7162049692116095,0.86905354
PDE4DIP,13,8,0.6153846153846154,0.74519096,0.9643886
STAG2,13,8,0.6153846153846154,0.5739568387800597,0.8872954
TENM4,13,8,0.6153846153846154,0.6887063712072153,0.92877
UGT2B4,13,8,0.6153846153846154,0.6551038983576153,0.86557966
FLNC,14,8,0.5714285714285714,0.6653826573457751,0.930014125
HIVEP1,14,8,0.5714285714285714,0.6373960291828571,0.92199595
MYO1B,14,8,0.5714285714285714,0.6257277992857143,0.87791595
NRXN1,14,8,0.5714285714285714,0.5971944417954609,0.95404461
SCN7A,14,8,0.5714285714285714,0.7032439090170713,0.89868997
SIPA1L2,14,8,0.5714285714285714,0.7260963702142857,0.86163713
SIPA1L3,14,8,0.5714285714285714,0.5619610935535596,0.86457558
