Hugo_Symbol,threshold,n_variants,n_predicted_artifact,artifact_fraction,median_rep_error_probability,mean_rep_error_probability
NLRP5,0.75,22,16,0.7272727272727273,0.967875865,0.7665017639092163
KIF2B,0.75,25,16,0.64,0.9229282,0.7766670133748034
RYR1,0.75,26,16,0.6153846153846154,0.97066532,0.7004531053884615
DSP,0.75,28,16,0.5714285714285714,0.8223525,0.6402162708731668
LAMA1,0.75,31,16,0.5161290322580645,0.7549901,0.5973775917621184
ADGRV1,0.75,33,16,0.48484848484848486,0.6884124,0.6126939958898883
COL1A2,0.75,16,15,0.9375,0.982837855,0.9156366735061269
LAMA2,0.75,17,15,0.8823529411764706,0.9713327,0.8662731256339823
PPP1R3A,0.75,18,15,0.8333333333333334,0.9759323,0.8921114138888888
TRIO,0.75,18,15,0.8333333333333334,0.9156181750000001,0.7929213853272222
ZFHX3,0.75,19,15,0.7894736842105263,0.9789261,0.8063054725263158
ANK2,0.75,21,15,0.7142857142857143,0.97130394,0.8351339219047619
COL14A1,0.75,22,15,0.6818181818181818,0.976477355,0.7023072086239384
FBN2,0.75,22,15,0.6818181818181818,0.858313975,0.7725392498181818
MYH1,0.75,23,15,0.6521739130434783,0.9081597,0.6825955021386745
SACS,0.75,23,15,0.6521739130434783,0.87807703,0.6832559081844609
SYNE2,0.75,23,15,0.6521739130434783,0.91149807,0.6720187421490261
TEX15,0.75,24,15,0.625,0.9730053,0.7418210256529166
TAF1L,0.75,29,15,0.5172413793103449,0.84524035,0.6176367210624121
DNAH8,0.75,30,15,0.5,0.74118787,0.6139012199499573
ARHGEF5,0.75,15,14,0.9333333333333333,0.989237,0.9457321646666668
ABCB4,0.75,17,14,0.8235294117647058,0.9840388,0.8624364582352941
LAMB4,0.75,17,14,0.8235294117647058,0.97900736,0.8123808735882353
TLL1,0.75,17,14,0.8235294117647058,0.9344201,0.8009848590015961
GABRA6,0.75,18,14,0.7777777777777778,0.9302621,0.7756896083888889
ZAN,0.75,21,14,0.6666666666666666,0.9639204,0.7088616078047619
FLNA,0.75,22,14,0.6363636363636364,0.9318771349999999,0.6457541005918727
MYH13,0.75,22,14,0.6363636363636364,0.9420903,0.6838767346005521
FRAS1,0.75,26,14,0.5384615384615384,0.88324145,0.5629668978108823
IDH1,0.75,26,14,0.5384615384615384,0.8059761999999999,0.5983748171087039
TECTA,0.75,26,14,0.5384615384615384,0.85665385,0.6637902235665
DOCK5,0.75,31,14,0.45161290322580644,0.66935885,0.5203128411871049
PTPN3,0.75,14,13,0.9285714285714286,0.9463191,0.8522750115
FREM2,0.75,15,13,0.8666666666666667,0.9622369,0.8555789866666667
NME8,0.75,15,13,0.8666666666666667,0.98474103,0.889080684
OR5D13,0.75,15,13,0.8666666666666667,0.9237843,0.8790242633333333
SAMD9,0.75,15,13,0.8666666666666667,0.97741514,0.8825697193333333
TRPV6,0.75,15,13,0.8666666666666667,0.9771847,0.8997551753333333
CALN1,0.75,16,13,0.8125,0.98254615,0.8297695297211874
EXPH5,0.75,16,13,0.8125,0.991315385,0.879739630625
GALNT17,0.75,16,13,0.8125,0.9625243649999999,0.87143921625
GRIN2B,0.75,17,13,0.7647058823529411,0.9723832,0.8095077854117647
ITPR3,0.75,17,13,0.7647058823529411,0.9548278,0.7741451078488605
MECOM,0.75,17,13,0.7647058823529411,0.9243684,0.7413689836823529
NLRP7,0.75,18,13,0.7222222222222222,0.961165635,0.8005074966666667
SCN10A,0.75,19,13,0.6842105263157895,0.94971687,0.7480896359368421
SETD2,0.75,19,13,0.6842105263157895,0.9510621,0.7086106407363159
NLRP12,0.75,20,13,0.65,0.8962870199999999,0.6748917278246954
PTPRT,0.75,20,13,0.65,0.96851585,0.7688526155
MUC5B,0.75,21,13,0.6190476190476191,0.95277774,0.6118605211705279
NLRP4,0.75,21,13,0.6190476190476191,0.95257264,0.711663486468381
PRDM9,0.75,21,13,0.6190476190476191,0.8613643,0.7397464876320811
CENPF,0.75,22,13,0.5909090909090909,0.90335752,0.6213489361958541
XIRP2,0.75,27,13,0.48148148148148145,0.72917485,0.6440885498740949
RYR3,0.75,29,13,0.4482758620689655,0.5397586,0.5425187804796702
NLRP13,0.75,13,12,0.9230769230769231,0.9891951,0.8966835784615385
CALCR,0.75,15,12,0.8,0.97136366,0.7779154634485688
COL11A1,0.75,15,12,0.8,0.9695584,0.8176087146666667
F8,0.75,15,12,0.8,0.9743192,0.8006128920000124
MYH11,0.75,15,12,0.8,0.9226204,0.831983332
ADAM29,0.75,16,12,0.75,0.9146052,0.77718357327385
F5,0.75,16,12,0.75,0.899587175,0.72824547384375
ZNF208,0.75,16,12,0.75,0.973456885,0.7373299611218398
CASR,0.75,17,12,0.7058823529411765,0.97469556,0.7681190534117647
KEL,0.75,17,12,0.7058823529411765,0.967612,0.77670110214712
POM121L12,0.75,17,12,0.7058823529411765,0.93849605,0.7044460767270486
SPEG,0.75,17,12,0.7058823529411765,0.971993,0.7290709479829103
BRCA2,0.75,18,12,0.6666666666666666,0.9591023999999999,0.6891742184333334
HECTD4,0.75,18,12,0.6666666666666666,0.85232155,0.6914401270107513
PCDHB7,0.75,18,12,0.6666666666666666,0.9572691799999999,0.7895156869444445
GRM8,0.75,19,12,0.631578947368421,0.9524793,0.6901228392115728
HECW1,0.75,19,12,0.631578947368421,0.97386736,0.6978830515031352
KIAA1109,0.75,19,12,0.631578947368421,0.96980155,0.7128267245157895
C3,0.75,20,12,0.6,0.9228225299999999,0.654003558028872
CDH18,0.75,20,12,0.6,0.9249415999999999,0.6818698660409324
TENM1,0.75,20,12,0.6,0.92615083,0.6631944254373375
TRPM6,0.75,20,12,0.6,0.952877325,0.6822776072676315
NOS1,0.75,22,12,0.5454545454545454,0.832592985,0.6049338671750468
SCN9A,0.75,22,12,0.5454545454545454,0.818318,0.6321319606574719
DNAH9,0.75,24,12,0.5,0.7436484999999999,0.669666550505
SLIT3,0.75,24,12,0.5,0.76323685,0.5857529990207797
LRP1B,0.75,26,12,0.46153846153846156,0.630049725,0.5707942047076924
DNAH10,0.75,27,12,0.4444444444444444,0.2559602,0.46236739655289477
TMEM132D,0.75,28,12,0.42857142857142855,0.5338812,0.5210919887306142
CR2,0.75,12,11,0.9166666666666666,0.973986025,0.906676825
OR5H2,0.75,12,11,0.9166666666666666,0.963290395,0.8723610125501167
TRPV5,0.75,12,11,0.9166666666666666,0.9906901,0.9383221158333334
ABCB5,0.75,13,11,0.8461538461538461,0.9843387,0.8482392709230768
FRMPD4,0.75,13,11,0.8461538461538461,0.9711415,0.797914843886923
NIPBL,0.75,13,11,0.8461538461538461,0.9899922,0.8867521965384615
PCDH19,0.75,13,11,0.8461538461538461,0.9697203,0.8125639102146154
PCDHA13,0.75,13,11,0.8461538461538461,0.94202167,0.8707233515384616
ZNF493,0.75,13,11,0.8461538461538461,0.9545892,0.7993765617615385
CDK5RAP2,0.75,14,11,0.7857142857142857,0.9393285,0.7714332740619781
COL12A1,0.75,14,11,0.7857142857142857,0.96648465,0.8015468347397142
ERICH3,0.75,14,11,0.7857142857142857,0.936375475,0.8305146514285714
PTPRN2,0.75,14,11,0.7857142857142857,0.984769255,0.7889630980571428
TAF1,0.75,14,11,0.7857142857142857,0.9778907349999999,0.7709975682628879
ZNF462,0.75,14,11,0.7857142857142857,0.9829167000000001,0.7973427792722393
CARD6,0.75,15,11,0.7333333333333333,0.8834931,0.7460593116666666
ADAMTS16,0.75,16,11,0.6875,0.9314610750000001,0.7191796110105535
DYNC1H1,0.75,16,11,0.6875,0.9449396699999999,0.6890358482084139
EPB41L3,0.75,16,11,0.6875,0.867711065,0.77290110125
RNF17,0.75,16,11,0.6875,0.979772115,0.6769040837543799
ATR,0.75,17,11,0.6470588235294118,0.8823663,0.6537916823580212
UGGT1,0.75,17,11,0.6470588235294118,0.9465989,0.7277561191490001
ABCC9,0.75,18,11,0.6111111111111112,0.851486235,0.7204671142969056
ANK1,0.75,18,11,0.6111111111111112,0.92499303,0.6780141111335589
HSPG2,0.75,18,11,0.6111111111111112,0.886491785,0.7131237420227777
KIF16B,0.75,18,11,0.6111111111111112,0.938605025,0.8208706438888889
PKHD1L1,0.75,18,11,0.6111111111111112,0.95691987,0.6514465038823334
FLG2,0.75,19,11,0.5789473684210527,0.7930646,0.7063209205263158
RESF1,0.75,19,11,0.5789473684210527,0.89883935,0.6621278180087803
HRNR,0.75,20,11,0.55,0.868453385,0.65296525904185
QSER1,0.75,20,11,0.55,0.8094072999999999,0.6394054001358149
USP9X,0.75,21,11,0.5238095238095238,0.8961361,0.504220563660042
TENM3,0.75,22,11,0.5,0.72702015,0.540593978288144
VWF,0.75,23,11,0.4782608695652174,0.7229405,0.6403425468326217
DOCK8,0.75,24,11,0.4583333333333333,0.621415135,0.5154534141715049
EP400,0.75,25,11,0.44,0.5543636,0.5775195161208
MXRA5,0.75,25,11,0.44,0.42689544,0.48133161290295284
HCN1,0.75,26,11,0.4230769230769231,0.44597485000000003,0.4981027629908805
ACAD10,0.75,10,10,1.0,0.9778279000000001,0.95114582
CPNE8,0.75,10,10,1.0,0.9907952,0.9570475780000001
LPA,0.75,10,10,1.0,0.97086692,0.93330487
SPATA31D1,0.75,11,10,0.9090909090909091,0.9671852,0.8548766935431454
TTC21A,0.75,11,10,0.9090909090909091,0.96392596,0.8443976878888351
URGCP,0.75,11,10,0.9090909090909091,0.98907745,0.8820596074117909
ADCY1,0.75,12,10,0.8333333333333334,0.9901940499999999,0.8122641201190858
CNTN6,0.75,12,10,0.8333333333333334,0.9765697799999999,0.87164816
CYP4F22,0.75,12,10,0.8333333333333334,0.98314205,0.8337027008333333
UBE3C,0.75,12,10,0.8333333333333334,0.9429475700000001,0.8145522996166666
ABCA1,0.75,13,10,0.7692307692307693,0.98477894,0.7940285015511215
CLCN1,0.75,13,10,0.7692307692307693,0.986033,0.8066602092307692
CPAMD8,0.75,13,10,0.7692307692307693,0.9701798,0.7561073843026678
ENPP2,0.75,13,10,0.7692307692307693,0.9172091,0.82160983
OR5W2,0.75,13,10,0.7692307692307693,0.90707725,0.7588607959769231
PREX1,0.75,13,10,0.7692307692307693,0.97461116,0.7958065968578154
RFX6,0.75,13,10,0.7692307692307693,0.9161507,0.8396669246153846
CAMTA1,0.75,14,10,0.7142857142857143,0.88625515,0.7996867735714286
DENND2C,0.75,14,10,0.7142857142857143,0.944414945,0.7325632642091572
FBN3,0.75,14,10,0.7142857142857143,0.89352535,0.702744607882658
MYH8,0.75,14,10,0.7142857142857143,0.97921263,0.7168872080895794
NLRP2,0.75,14,10,0.7142857142857143,0.92523667,0.7927424964285714
PEG3,0.75,14,10,0.7142857142857143,0.896440575,0.7096231403263572
ABCA13,0.75,15,10,0.6666666666666666,0.9214332,0.6904373194826025
EPHA8,0.75,15,10,0.6666666666666666,0.92383873,0.6654751768918089
SRRM2,0.75,15,10,0.6666666666666666,0.9762896,0.7309896575666667
ALPK2,0.75,16,10,0.625,0.967294615,0.753018027734375
CACNA2D1,0.75,16,10,0.625,0.9443622,0.7048882583125
CMYA5,0.75,16,10,0.625,0.95448208,0.7238442251046981
DSG4,0.75,16,10,0.625,0.92893682,0.6978538580261162
GLI3,0.75,16,10,0.625,0.9466202699999999,0.7138991475
ITPR2,0.75,16,10,0.625,0.92829175,0.7325471842403775
LRP1,0.75,16,10,0.625,0.8780614499999999,0.6889839083125
SPATA31A1,0.75,16,10,0.625,0.9082418999999999,0.6797007978796262
ELMO1,0.75,17,10,0.5882352941176471,0.90835404,0.7103257564110224
ENPEP,0.75,17,10,0.5882352941176471,0.8742426,0.6809852248425519
FBN1,0.75,17,10,0.5882352941176471,0.9169427,0.6873134821
NLRP3,0.75,17,10,0.5882352941176471,0.89605117,0.6236959882148716
TSHZ2,0.75,17,10,0.5882352941176471,0.94059616,0.6850360261705882
ZFP42,0.75,17,10,0.5882352941176471,0.98140806,0.665557007102362
ABCC5,0.75,18,10,0.5555555555555556,0.80574115,0.6234762131185874
BIRC6,0.75,18,10,0.5555555555555556,0.91737318,0.5721153886331465
ITGAD,0.75,18,10,0.5555555555555556,0.86741665,0.5702064992122464
CACNA1S,0.75,19,10,0.5263157894736842,0.82233113,0.7029671339144737
MYH2,0.75,20,10,0.5,0.7761331,0.5828721614496628
PCDHA1,0.75,20,10,0.5,0.784890275,0.6076772281394
PDGFRA,0.75,20,10,0.5,0.7968736999999999,0.5898180564740192
DNAH17,0.75,21,10,0.47619047619047616,0.6519642,0.554110852264365
DMD,0.75,25,10,0.4,0.36880147,0.460026625248721
CHD1,0.75,9,9,1.0,0.9853284,0.9527680733333332
TPTE,0.75,9,9,1.0,0.98955464,0.9668843477777779
VPS50,0.75,9,9,1.0,0.9909574,0.9692941811111111
ZPBP,0.75,9,9,1.0,0.9805731,0.9597820044444444
ANO3,0.75,10,9,0.9,0.99013565,0.9054820809999999
AREL1,0.75,10,9,0.9,0.9627007000000001,0.849806983
CDK13,0.75,10,9,0.9,0.98332876,0.918918758
COL28A1,0.75,10,9,0.9,0.9671293249999999,0.881088915
FAM120B,0.75,10,9,0.9,0.98920268,0.8865932214986
FANCD2,0.75,10,9,0.9,0.9830753000000001,0.894110663
LDLR,0.75,10,9,0.9,0.953266775,0.900512749
MED13L,0.75,10,9,0.9,0.9861770000000001,0.9017922589999999
PON1,0.75,10,9,0.9,0.9787177,0.87303364565
PTPRZ1,0.75,10,9,0.9,0.98279505,0.938738256
RAB3GAP2,0.75,10,9,0.9,0.9352549299999999,0.854104704
SEPTIN4,0.75,10,9,0.9,0.9863772749999999,0.8653786400000136
TDRD7,0.75,10,9,0.9,0.9790952749999999,0.861416849
ADAMTS2,0.75,11,9,0.8181818181818182,0.9779448,0.8534925154589991
AMPD1,0.75,11,9,0.8181818181818182,0.93673617,0.8653531036363638
AOC1,0.75,11,9,0.8181818181818182,0.9755755,0.7833031775012728
CNTNAP1,0.75,11,9,0.8181818181818182,0.95578355,0.8418920318181818
GEMIN5,0.75,11,9,0.8181818181818182,0.93627256,0.7828025807636364
LARP1,0.75,11,9,0.8181818181818182,0.9878655,0.7928895415116027
MAP1B,0.75,11,9,0.8181818181818182,0.9799313,0.90646537
NLRP11,0.75,11,9,0.8181818181818182,0.98338425,0.8039911692752368
SLC6A18,0.75,11,9,0.8181818181818182,0.9828181,0.8068547849600001
TRPM3,0.75,11,9,0.8181818181818182,0.99072343,0.8712763801818183
AFM,0.75,12,9,0.75,0.9168878650000001,0.7473503144254167
ARHGAP21,0.75,12,9,0.75,0.98293805,0.7545761782500001
CENPE,0.75,12,9,0.75,0.90627412,0.7530980458583333
COBL,0.75,12,9,0.75,0.986024975,0.818881445
COL24A1,0.75,12,9,0.75,0.9905193,0.7661015139333333
KALRN,0.75,12,9,0.75,0.9711527799999999,0.7542746365133333
KIAA1210,0.75,12,9,0.75,0.96965155,0.7210033962038348
KLK15,0.75,12,9,0.75,0.9754044500000001,0.7292188145591667
NRXN3,0.75,12,9,0.75,0.96683522,0.7198543635336917
PDE1C,0.75,12,9,0.75,0.98193715,0.8190040033333333
PTPN11,0.75,12,9,0.75,0.9765297,0.8079889825
SAMD9L,0.75,12,9,0.75,0.96883075,0.7615931803833332
SBNO1,0.75,12,9,0.75,0.98786635,0.798537975
SLC5A7,0.75,12,9,0.75,0.87986337,0.7383754815133333
UTRN,0.75,12,9,0.75,0.979498805,0.7357292709416666
CNTN1,0.75,13,9,0.6923076923076923,0.956087,0.7437200484615385
CUBN,0.75,13,9,0.6923076923076923,0.97625494,0.665090370746028
LRBA,0.75,13,9,0.6923076923076923,0.9483938,0.7241752717807692
PCDHB15,0.75,13,9,0.6923076923076923,0.9785775,0.8134291656153846
PREX2,0.75,13,9,0.6923076923076923,0.9384528,0.757049154
SALL4,0.75,13,9,0.6923076923076923,0.9727811,0.7464517526923077
VAV1,0.75,13,9,0.6923076923076923,0.9623877,0.7653481758561539
ANO4,0.75,14,9,0.6428571428571429,0.9204413,0.7781497592857143
ASH1L,0.75,14,9,0.6428571428571429,0.94074115,0.7901871375428572
CFTR,0.75,14,9,0.6428571428571429,0.9911839,0.6705862719355214
LY75,0.75,14,9,0.6428571428571429,0.915398775,0.7117892725214287
MC3R,0.75,14,9,0.6428571428571429,0.9766136750000001,0.8015034875
MYO3A,0.75,14,9,0.6428571428571429,0.962207665,0.6473884729148851
MYOCD,0.75,14,9,0.6428571428571429,0.97195597,0.6392464792057682
SLC9A4,0.75,14,9,0.6428571428571429,0.916974975,0.7362481000714285
SVEP1,0.75,14,9,0.6428571428571429,0.94756628,0.6590628724092998
UGT3A2,0.75,14,9,0.6428571428571429,0.955710015,0.697573603875
WDFY3,0.75,14,9,0.6428571428571429,0.9746263049999999,0.6865188478928571
CACNA1B,0.75,15,9,0.6,0.9192816,0.64632948941573
CIT,0.75,15,9,0.6,0.92415893,0.7664519746666667
DYNC1I1,0.75,15,9,0.6,0.9333453,0.7035635313009426
HERC2P3,0.75,15,9,0.6,0.93314224,0.640553863934576
KIF4B,0.75,15,9,0.6,0.925706,0.6537392221425333
MAG,0.75,15,9,0.6,0.9398833,0.6062330262316246
POLE,0.75,15,9,0.6,0.9755996,0.6912956457066667
TLR7,0.75,15,9,0.6,0.9141025,0.5985879661481813
VPS13B,0.75,15,9,0.6,0.9367499,0.73424682
BDP1,0.75,16,9,0.5625,0.92891045,0.6629886783776875
CHD9,0.75,16,9,0.5625,0.922882025,0.6397594143963062
FAT1,0.75,16,9,0.5625,0.9480943,0.6431029942300125
ZDBF2,0.75,16,9,0.5625,0.8741795,0.6189482760152756
ADGRF5,0.75,17,9,0.5294117647058824,0.7673681,0.5446745598094775
FGD5,0.75,17,9,0.5294117647058824,0.7753797,0.62813213489
MYH6,0.75,17,9,0.5294117647058824,0.9033024,0.5606877561282353
NWD1,0.75,17,9,0.5294117647058824,0.8106452,0.6957913806439335
SCN5A,0.75,17,9,0.5294117647058824,0.9221423,0.594313914143174
ADCY10,0.75,18,9,0.5,0.65938434,0.6005047155944445
CD163L1,0.75,18,9,0.5,0.744273185,0.6149736015123091
ESPL1,0.75,18,9,0.5,0.595471225,0.5179198164331446
GRIP1,0.75,18,9,0.5,0.75884235,0.5815858693779444
HERC2,0.75,18,9,0.5,0.7796236700000001,0.6304792513539093
NAV2,0.75,19,9,0.47368421052631576,0.55894697,0.5642558557599999
SLIT2,0.75,19,9,0.47368421052631576,0.57547987,0.6317165418035839
ASPM,0.75,20,9,0.45,0.6360674500000001,0.59869414291
KSR2,0.75,20,9,0.45,0.57842481,0.543250563064647
PLCG2,0.75,21,9,0.42857142857142855,0.3520107,0.49915523558095237
ADAM22,0.75,8,8,1.0,0.98333485,0.97357252
BAZ1A,0.75,8,8,1.0,0.9580188000000001,0.93774557875
CDK12,0.75,8,8,1.0,0.99131122,0.9551303987499999
KMT2E,0.75,8,8,1.0,0.98952387,0.96866196125
NRP2,0.75,8,8,1.0,0.9645516199999999,0.927485755
OR2A7,0.75,8,8,1.0,0.9825585,0.9746524125
AC004593.2,0.75,9,8,0.8888888888888888,0.9779252,0.86658741518
BRAF,0.75,9,8,0.8888888888888888,0.9666452,0.889321588888889
BRCA1,0.75,9,8,0.8888888888888888,0.97182906,0.8566485696448982
CSF2RA,0.75,9,8,0.8888888888888888,0.9906783,0.9422714066666666
CTNND2,0.75,9,8,0.8888888888888888,0.8734513,0.8141436894444445
CUL9,0.75,9,8,0.8888888888888888,0.989858,0.8610227859844444
DGKK,0.75,9,8,0.8888888888888888,0.9219393,0.8170171211111976
EEF1A1,0.75,9,8,0.8888888888888888,0.98544496,0.9196147411111111
ENAM,0.75,9,8,0.8888888888888888,0.8118652,0.8416237566666667
HECTD1,0.75,9,8,0.8888888888888888,0.98523545,0.9159780488888889
KDM7A,0.75,9,8,0.8888888888888888,0.9885684,0.875091839
KRT16,0.75,9,8,0.8888888888888888,0.9579982,0.8784286744444444
MMRN1,0.75,9,8,0.8888888888888888,0.9790325,0.9016060311111112
MYH7,0.75,9,8,0.8888888888888888,0.979054,0.9460042888888888
NPTX2,0.75,9,8,0.8888888888888888,0.982216,0.9335422722222222
PCDH18,0.75,9,8,0.8888888888888888,0.98877466,0.9492802122222224
PLCH1,0.75,9,8,0.8888888888888888,0.98975605,0.9183913011111111
SEMG2,0.75,9,8,0.8888888888888888,0.9766024,0.8622009074109489
SRGAP3,0.75,9,8,0.8888888888888888,0.9331936,0.8368465943018889
SSTR4,0.75,9,8,0.8888888888888888,0.9795854,0.9131823722222223
TYR,0.75,9,8,0.8888888888888888,0.9705395,0.8667360577777778
XRN1,0.75,9,8,0.8888888888888888,0.9889693,0.9099125222222223
ZNF532,0.75,9,8,0.8888888888888888,0.97032017,0.8944415544444444
ZNFX1,0.75,9,8,0.8888888888888888,0.9882883,0.9517162133333333
ARAP2,0.75,10,8,0.8,0.970589015,0.8271462967290001
C6,0.75,10,8,0.8,0.96620018,0.817842132
CARD11,0.75,10,8,0.8,0.9592383,0.77678645493
CDH1,0.75,10,8,0.8,0.9879526,0.906920439
CR1,0.75,10,8,0.8,0.9853021,0.818329479
CYLD,0.75,10,8,0.8,0.9782042150000001,0.8549629927
HEATR5B,0.75,10,8,0.8,0.97236173,0.85252554952212
HTR3A,0.75,10,8,0.8,0.97200715,0.79356816559
IGSF9,0.75,10,8,0.8,0.985201115,0.851517376
ITGA4,0.75,10,8,0.8,0.9640522,0.7778231573900001
OPN5,0.75,10,8,0.8,0.959042195,0.832890465000044
PAPPA2,0.75,10,8,0.8,0.9754227799999999,0.8193302680000001
PPL,0.75,10,8,0.8,0.9540206499999999,0.7606771982743
PPP4R4,0.75,10,8,0.8,0.9462418699999999,0.8316881125
SLC9C1,0.75,10,8,0.8,0.95304488,0.7785648610940707
STXBP5L,0.75,10,8,0.8,0.9721525,0.813297207
SYDE2,0.75,10,8,0.8,0.9884809,0.8196135734635099
TIMD4,0.75,10,8,0.8,0.89193568,0.8497259789999999
VIRMA,0.75,10,8,0.8,0.96928477,0.850090123505782
ZNF335,0.75,10,8,0.8,0.9794802499999999,0.791800328
BMS1,0.75,11,8,0.7272727272727273,0.9811193,0.7175960823677909
BRWD3,0.75,11,8,0.7272727272727273,0.90832543,0.7036791555418183
CDCP1,0.75,11,8,0.7272727272727273,0.96589,0.7931874286581819
COL6A2,0.75,11,8,0.7272727272727273,0.9253235,0.7248532528454545
DSCAM,0.75,11,8,0.7272727272727273,0.97212976,0.8159640718181819
GABRA4,0.75,11,8,0.7272727272727273,0.97074014,0.6974780547033973
KCNV1,0.75,11,8,0.7272727272727273,0.9393661,0.724047669398061
KMT2A,0.75,11,8,0.7272727272727273,0.9760656,0.7105145961818181
OR8K3,0.75,11,8,0.7272727272727273,0.9487583,0.8040783842225455
PCDH15,0.75,11,8,0.7272727272727273,0.9869398,0.6994479403538305
PCK1,0.75,11,8,0.7272727272727273,0.9748576,0.7428910327274636
PHLDB2,0.75,11,8,0.7272727272727273,0.9862765,0.7611958227272727
PTPRM,0.75,11,8,0.7272727272727273,0.9151347,0.7114756629820088
RP1L1,0.75,11,8,0.7272727272727273,0.96394587,0.7683153506
SCN1A,0.75,11,8,0.7272727272727273,0.9200744,0.7267597207821818
SHROOM3,0.75,11,8,0.7272727272727273,0.9735792,0.7438557809090909
SLC26A3,0.75,11,8,0.7272727272727273,0.9867849,0.9090426209090908
VCAN,0.75,11,8,0.7272727272727273,0.98356146,0.7780417324181819
WNT2,0.75,11,8,0.7272727272727273,0.9646711,0.718112457503
XIRP1,0.75,11,8,0.7272727272727273,0.92365336,0.7144160662030419
ZC3H13,0.75,11,8,0.7272727272727273,0.9426088,0.7593005682454546
ZNF99,0.75,11,8,0.7272727272727273,0.98873925,0.7763641758904747
