Hugo_Symbol,threshold,n_variants,n_predicted_artifact,artifact_fraction,median_rep_error_probability,mean_rep_error_probability
NLRP5,0.75,22,16,0.727273,0.967876,0.766502
KIF2B,0.75,25,16,0.64,0.922928,0.776667
RYR1,0.75,26,16,0.615385,0.970665,0.700453
DSP,0.75,28,16,0.571429,0.822352,0.640216
LAMA1,0.75,31,16,0.516129,0.75499,0.597378
ADGRV1,0.75,33,16,0.484848,0.688412,0.612694
COL1A2,0.75,16,15,0.9375,0.982838,0.915637
LAMA2,0.75,17,15,0.882353,0.971333,0.866273
PPP1R3A,0.75,18,15,0.833333,0.975932,0.892111
TRIO,0.75,18,15,0.833333,0.915618,0.792921
ZFHX3,0.75,19,15,0.789474,0.978926,0.806305
ANK2,0.75,21,15,0.714286,0.971304,0.835134
COL14A1,0.75,22,15,0.681818,0.976477,0.702307
FBN2,0.75,22,15,0.681818,0.858314,0.772539
MYH1,0.75,23,15,0.652174,0.90816,0.682596
SACS,0.75,23,15,0.652174,0.878077,0.683256
SYNE2,0.75,23,15,0.652174,0.911498,0.672019
TEX15,0.75,24,15,0.625,0.973005,0.741821
TAF1L,0.75,29,15,0.517241,0.84524,0.617637
DNAH8,0.75,30,15,0.5,0.741188,0.613901
ARHGEF5,0.75,15,14,0.933333,0.989237,0.945732
ABCB4,0.75,17,14,0.823529,0.984039,0.862436
LAMB4,0.75,17,14,0.823529,0.979007,0.812381
TLL1,0.75,17,14,0.823529,0.93442,0.800985
GABRA6,0.75,18,14,0.777778,0.930262,0.77569
ZAN,0.75,21,14,0.666667,0.96392,0.708862
FLNA,0.75,22,14,0.636364,0.931877,0.645754
MYH13,0.75,22,14,0.636364,0.94209,0.683877
FRAS1,0.75,26,14,0.538462,0.883241,0.562967
IDH1,0.75,26,14,0.538462,0.805976,0.598375
TECTA,0.75,26,14,0.538462,0.856654,0.66379
DOCK5,0.75,31,14,0.451613,0.669359,0.520313
PTPN3,0.75,14,13,0.928571,0.946319,0.852275
FREM2,0.75,15,13,0.866667,0.962237,0.855579
NME8,0.75,15,13,0.866667,0.984741,0.889081
OR5D13,0.75,15,13,0.866667,0.923784,0.879024
SAMD9,0.75,15,13,0.866667,0.977415,0.88257
TRPV6,0.75,15,13,0.866667,0.977185,0.899755
CALN1,0.75,16,13,0.8125,0.982546,0.82977
EXPH5,0.75,16,13,0.8125,0.991315,0.87974
GALNT17,0.75,16,13,0.8125,0.962524,0.871439
GRIN2B,0.75,17,13,0.764706,0.972383,0.809508
ITPR3,0.75,17,13,0.764706,0.954828,0.774145
MECOM,0.75,17,13,0.764706,0.924368,0.741369
NLRP7,0.75,18,13,0.722222,0.961166,0.800507
SCN10A,0.75,19,13,0.684211,0.949717,0.74809
SETD2,0.75,19,13,0.684211,0.951062,0.708611
NLRP12,0.75,20,13,0.65,0.896287,0.674892
PTPRT,0.75,20,13,0.65,0.968516,0.768853
MUC5B,0.75,21,13,0.619048,0.952778,0.611861
NLRP4,0.75,21,13,0.619048,0.952573,0.711663
PRDM9,0.75,21,13,0.619048,0.861364,0.739746
CENPF,0.75,22,13,0.590909,0.903358,0.621349
XIRP2,0.75,27,13,0.481481,0.729175,0.644089
RYR3,0.75,29,13,0.448276,0.539759,0.542519
NLRP13,0.75,13,12,0.923077,0.989195,0.896684
CALCR,0.75,15,12,0.8,0.971364,0.777915
COL11A1,0.75,15,12,0.8,0.969558,0.817609
F8,0.75,15,12,0.8,0.974319,0.800613
MYH11,0.75,15,12,0.8,0.92262,0.831983
ADAM29,0.75,16,12,0.75,0.914605,0.777184
F5,0.75,16,12,0.75,0.899587,0.728245
ZNF208,0.75,16,12,0.75,0.973457,0.73733
CASR,0.75,17,12,0.705882,0.974696,0.768119
KEL,0.75,17,12,0.705882,0.967612,0.776701
POM121L12,0.75,17,12,0.705882,0.938496,0.704446
SPEG,0.75,17,12,0.705882,0.971993,0.729071
BRCA2,0.75,18,12,0.666667,0.959102,0.689174
HECTD4,0.75,18,12,0.666667,0.852322,0.69144
PCDHB7,0.75,18,12,0.666667,0.957269,0.789516
GRM8,0.75,19,12,0.631579,0.952479,0.690123
HECW1,0.75,19,12,0.631579,0.973867,0.697883
KIAA1109,0.75,19,12,0.631579,0.969802,0.712827
C3,0.75,20,12,0.6,0.922823,0.654004
CDH18,0.75,20,12,0.6,0.924942,0.68187
TENM1,0.75,20,12,0.6,0.926151,0.663194
TRPM6,0.75,20,12,0.6,0.952877,0.682278
NOS1,0.75,22,12,0.545455,0.832593,0.604934
SCN9A,0.75,22,12,0.545455,0.818318,0.632132
DNAH9,0.75,24,12,0.5,0.743648,0.669667
SLIT3,0.75,24,12,0.5,0.763237,0.585753
LRP1B,0.75,26,12,0.461538,0.63005,0.570794
DNAH10,0.75,27,12,0.444444,0.25596,0.462367
TMEM132D,0.75,28,12,0.428571,0.533881,0.521092
CR2,0.75,12,11,0.916667,0.973986,0.906677
OR5H2,0.75,12,11,0.916667,0.96329,0.872361
TRPV5,0.75,12,11,0.916667,0.99069,0.938322
ABCB5,0.75,13,11,0.846154,0.984339,0.848239
FRMPD4,0.75,13,11,0.846154,0.971142,0.797915
NIPBL,0.75,13,11,0.846154,0.989992,0.886752
PCDH19,0.75,13,11,0.846154,0.96972,0.812564
PCDHA13,0.75,13,11,0.846154,0.942022,0.870723
ZNF493,0.75,13,11,0.846154,0.954589,0.799377
CDK5RAP2,0.75,14,11,0.785714,0.939328,0.771433
COL12A1,0.75,14,11,0.785714,0.966485,0.801547
ERICH3,0.75,14,11,0.785714,0.936375,0.830515
PTPRN2,0.75,14,11,0.785714,0.984769,0.788963
TAF1,0.75,14,11,0.785714,0.977891,0.770998
ZNF462,0.75,14,11,0.785714,0.982917,0.797343
CARD6,0.75,15,11,0.733333,0.883493,0.746059
ADAMTS16,0.75,16,11,0.6875,0.931461,0.71918
DYNC1H1,0.75,16,11,0.6875,0.94494,0.689036
EPB41L3,0.75,16,11,0.6875,0.867711,0.772901
RNF17,0.75,16,11,0.6875,0.979772,0.676904
ATR,0.75,17,11,0.647059,0.882366,0.653792
UGGT1,0.75,17,11,0.647059,0.946599,0.727756
ABCC9,0.75,18,11,0.611111,0.851486,0.720467
ANK1,0.75,18,11,0.611111,0.924993,0.678014
HSPG2,0.75,18,11,0.611111,0.886492,0.713124
KIF16B,0.75,18,11,0.611111,0.938605,0.820871
PKHD1L1,0.75,18,11,0.611111,0.95692,0.651447
FLG2,0.75,19,11,0.578947,0.793065,0.706321
RESF1,0.75,19,11,0.578947,0.898839,0.662128
HRNR,0.75,20,11,0.55,0.868453,0.652965
QSER1,0.75,20,11,0.55,0.809407,0.639405
USP9X,0.75,21,11,0.52381,0.896136,0.504221
TENM3,0.75,22,11,0.5,0.72702,0.540594
VWF,0.75,23,11,0.478261,0.72294,0.640343
DOCK8,0.75,24,11,0.458333,0.621415,0.515453
EP400,0.75,25,11,0.44,0.554364,0.57752
MXRA5,0.75,25,11,0.44,0.426895,0.481332
HCN1,0.75,26,11,0.423077,0.445975,0.498103
ACAD10,0.75,10,10,1.0,0.977828,0.951146
CPNE8,0.75,10,10,1.0,0.990795,0.957048
LPA,0.75,10,10,1.0,0.970867,0.933305
SPATA31D1,0.75,11,10,0.909091,0.967185,0.854877
TTC21A,0.75,11,10,0.909091,0.963926,0.844398
URGCP,0.75,11,10,0.909091,0.989077,0.88206
ADCY1,0.75,12,10,0.833333,0.990194,0.812264
CNTN6,0.75,12,10,0.833333,0.97657,0.871648
CYP4F22,0.75,12,10,0.833333,0.983142,0.833703
UBE3C,0.75,12,10,0.833333,0.942948,0.814552
ABCA1,0.75,13,10,0.769231,0.984779,0.794029
CLCN1,0.75,13,10,0.769231,0.986033,0.80666
CPAMD8,0.75,13,10,0.769231,0.97018,0.756107
ENPP2,0.75,13,10,0.769231,0.917209,0.82161
OR5W2,0.75,13,10,0.769231,0.907077,0.758861
PREX1,0.75,13,10,0.769231,0.974611,0.795807
RFX6,0.75,13,10,0.769231,0.916151,0.839667
CAMTA1,0.75,14,10,0.714286,0.886255,0.799687
DENND2C,0.75,14,10,0.714286,0.944415,0.732563
FBN3,0.75,14,10,0.714286,0.893525,0.702745
MYH8,0.75,14,10,0.714286,0.979213,0.716887
NLRP2,0.75,14,10,0.714286,0.925237,0.792742
PEG3,0.75,14,10,0.714286,0.896441,0.709623
ABCA13,0.75,15,10,0.666667,0.921433,0.690437
EPHA8,0.75,15,10,0.666667,0.923839,0.665475
SRRM2,0.75,15,10,0.666667,0.97629,0.73099
ALPK2,0.75,16,10,0.625,0.967295,0.753018
CACNA2D1,0.75,16,10,0.625,0.944362,0.704888
CMYA5,0.75,16,10,0.625,0.954482,0.723844
DSG4,0.75,16,10,0.625,0.928937,0.697854
GLI3,0.75,16,10,0.625,0.94662,0.713899
ITPR2,0.75,16,10,0.625,0.928292,0.732547
LRP1,0.75,16,10,0.625,0.878061,0.688984
SPATA31A1,0.75,16,10,0.625,0.908242,0.679701
ELMO1,0.75,17,10,0.588235,0.908354,0.710326
ENPEP,0.75,17,10,0.588235,0.874243,0.680985
FBN1,0.75,17,10,0.588235,0.916943,0.687313
NLRP3,0.75,17,10,0.588235,0.896051,0.623696
TSHZ2,0.75,17,10,0.588235,0.940596,0.685036
ZFP42,0.75,17,10,0.588235,0.981408,0.665557
ABCC5,0.75,18,10,0.555556,0.805741,0.623476
BIRC6,0.75,18,10,0.555556,0.917373,0.572115
ITGAD,0.75,18,10,0.555556,0.867417,0.570206
CACNA1S,0.75,19,10,0.526316,0.822331,0.702967
MYH2,0.75,20,10,0.5,0.776133,0.582872
PCDHA1,0.75,20,10,0.5,0.78489,0.607677
PDGFRA,0.75,20,10,0.5,0.796874,0.589818
DNAH17,0.75,21,10,0.47619,0.651964,0.554111
DMD,0.75,25,10,0.4,0.368801,0.460027
CHD1,0.75,9,9,1.0,0.985328,0.952768
TPTE,0.75,9,9,1.0,0.989555,0.966884
VPS50,0.75,9,9,1.0,0.990957,0.969294
ZPBP,0.75,9,9,1.0,0.980573,0.959782
ANO3,0.75,10,9,0.9,0.990136,0.905482
AREL1,0.75,10,9,0.9,0.962701,0.849807
CDK13,0.75,10,9,0.9,0.983329,0.918919
COL28A1,0.75,10,9,0.9,0.967129,0.881089
FAM120B,0.75,10,9,0.9,0.989203,0.886593
FANCD2,0.75,10,9,0.9,0.983075,0.894111
LDLR,0.75,10,9,0.9,0.953267,0.900513
MED13L,0.75,10,9,0.9,0.986177,0.901792
PON1,0.75,10,9,0.9,0.978718,0.873034
PTPRZ1,0.75,10,9,0.9,0.982795,0.938738
RAB3GAP2,0.75,10,9,0.9,0.935255,0.854105
SEPTIN4,0.75,10,9,0.9,0.986377,0.865379
TDRD7,0.75,10,9,0.9,0.979095,0.861417
ADAMTS2,0.75,11,9,0.818182,0.977945,0.853493
AMPD1,0.75,11,9,0.818182,0.936736,0.865353
AOC1,0.75,11,9,0.818182,0.975576,0.783303
CNTNAP1,0.75,11,9,0.818182,0.955784,0.841892
GEMIN5,0.75,11,9,0.818182,0.936273,0.782803
LARP1,0.75,11,9,0.818182,0.987866,0.79289
MAP1B,0.75,11,9,0.818182,0.979931,0.906465
NLRP11,0.75,11,9,0.818182,0.983384,0.803991
SLC6A18,0.75,11,9,0.818182,0.982818,0.806855
TRPM3,0.75,11,9,0.818182,0.990723,0.871276
AFM,0.75,12,9,0.75,0.916888,0.74735
ARHGAP21,0.75,12,9,0.75,0.982938,0.754576
CENPE,0.75,12,9,0.75,0.906274,0.753098
COBL,0.75,12,9,0.75,0.986025,0.818881
COL24A1,0.75,12,9,0.75,0.990519,0.766102
KALRN,0.75,12,9,0.75,0.971153,0.754275
KIAA1210,0.75,12,9,0.75,0.969652,0.721003
KLK15,0.75,12,9,0.75,0.975404,0.729219
NRXN3,0.75,12,9,0.75,0.966835,0.719854
PDE1C,0.75,12,9,0.75,0.981937,0.819004
PTPN11,0.75,12,9,0.75,0.97653,0.807989
SAMD9L,0.75,12,9,0.75,0.968831,0.761593
SBNO1,0.75,12,9,0.75,0.987866,0.798538
SLC5A7,0.75,12,9,0.75,0.879863,0.738375
UTRN,0.75,12,9,0.75,0.979499,0.735729
CNTN1,0.75,13,9,0.692308,0.956087,0.74372
CUBN,0.75,13,9,0.692308,0.976255,0.66509
LRBA,0.75,13,9,0.692308,0.948394,0.724175
PCDHB15,0.75,13,9,0.692308,0.978578,0.813429
PREX2,0.75,13,9,0.692308,0.938453,0.757049
SALL4,0.75,13,9,0.692308,0.972781,0.746452
VAV1,0.75,13,9,0.692308,0.962388,0.765348
ANO4,0.75,14,9,0.642857,0.920441,0.77815
ASH1L,0.75,14,9,0.642857,0.940741,0.790187
CFTR,0.75,14,9,0.642857,0.991184,0.670586
LY75,0.75,14,9,0.642857,0.915399,0.711789
MC3R,0.75,14,9,0.642857,0.976614,0.801503
MYO3A,0.75,14,9,0.642857,0.962208,0.647388
MYOCD,0.75,14,9,0.642857,0.971956,0.639246
SLC9A4,0.75,14,9,0.642857,0.916975,0.736248
SVEP1,0.75,14,9,0.642857,0.947566,0.659063
UGT3A2,0.75,14,9,0.642857,0.95571,0.697574
WDFY3,0.75,14,9,0.642857,0.974626,0.686519
CACNA1B,0.75,15,9,0.6,0.919282,0.646329
CIT,0.75,15,9,0.6,0.924159,0.766452
DYNC1I1,0.75,15,9,0.6,0.933345,0.703564
HERC2P3,0.75,15,9,0.6,0.933142,0.640554
KIF4B,0.75,15,9,0.6,0.925706,0.653739
MAG,0.75,15,9,0.6,0.939883,0.606233
POLE,0.75,15,9,0.6,0.9756,0.691296
TLR7,0.75,15,9,0.6,0.914102,0.598588
VPS13B,0.75,15,9,0.6,0.93675,0.734247
BDP1,0.75,16,9,0.5625,0.92891,0.662989
CHD9,0.75,16,9,0.5625,0.922882,0.639759
FAT1,0.75,16,9,0.5625,0.948094,0.643103
ZDBF2,0.75,16,9,0.5625,0.87418,0.618948
ADGRF5,0.75,17,9,0.529412,0.767368,0.544675
FGD5,0.75,17,9,0.529412,0.77538,0.628132
MYH6,0.75,17,9,0.529412,0.903302,0.560688
NWD1,0.75,17,9,0.529412,0.810645,0.695791
SCN5A,0.75,17,9,0.529412,0.922142,0.594314
ADCY10,0.75,18,9,0.5,0.659384,0.600505
CD163L1,0.75,18,9,0.5,0.744273,0.614974
ESPL1,0.75,18,9,0.5,0.595471,0.51792
GRIP1,0.75,18,9,0.5,0.758842,0.581586
HERC2,0.75,18,9,0.5,0.779624,0.630479
NAV2,0.75,19,9,0.473684,0.558947,0.564256
SLIT2,0.75,19,9,0.473684,0.57548,0.631717
ASPM,0.75,20,9,0.45,0.636067,0.598694
KSR2,0.75,20,9,0.45,0.578425,0.543251
PLCG2,0.75,21,9,0.428571,0.352011,0.499155
ADAM22,0.75,8,8,1.0,0.983335,0.973573
BAZ1A,0.75,8,8,1.0,0.958019,0.937746
CDK12,0.75,8,8,1.0,0.991311,0.95513
KMT2E,0.75,8,8,1.0,0.989524,0.968662
NRP2,0.75,8,8,1.0,0.964552,0.927486
OR2A7,0.75,8,8,1.0,0.982558,0.974652
AC004593.2,0.75,9,8,0.888889,0.977925,0.866587
BRAF,0.75,9,8,0.888889,0.966645,0.889322
BRCA1,0.75,9,8,0.888889,0.971829,0.856649
CSF2RA,0.75,9,8,0.888889,0.990678,0.942271
CTNND2,0.75,9,8,0.888889,0.873451,0.814144
CUL9,0.75,9,8,0.888889,0.989858,0.861023
DGKK,0.75,9,8,0.888889,0.921939,0.817017
EEF1A1,0.75,9,8,0.888889,0.985445,0.919615
ENAM,0.75,9,8,0.888889,0.811865,0.841624
HECTD1,0.75,9,8,0.888889,0.985235,0.915978
KDM7A,0.75,9,8,0.888889,0.988568,0.875092
KRT16,0.75,9,8,0.888889,0.957998,0.878429
MMRN1,0.75,9,8,0.888889,0.979032,0.901606
MYH7,0.75,9,8,0.888889,0.979054,0.946004
NPTX2,0.75,9,8,0.888889,0.982216,0.933542
PCDH18,0.75,9,8,0.888889,0.988775,0.94928
PLCH1,0.75,9,8,0.888889,0.989756,0.918391
SEMG2,0.75,9,8,0.888889,0.976602,0.862201
SRGAP3,0.75,9,8,0.888889,0.933194,0.836847
SSTR4,0.75,9,8,0.888889,0.979585,0.913182
TYR,0.75,9,8,0.888889,0.97054,0.866736
XRN1,0.75,9,8,0.888889,0.988969,0.909913
ZNF532,0.75,9,8,0.888889,0.97032,0.894442
ZNFX1,0.75,9,8,0.888889,0.988288,0.951716
ARAP2,0.75,10,8,0.8,0.970589,0.827146
C6,0.75,10,8,0.8,0.9662,0.817842
CARD11,0.75,10,8,0.8,0.959238,0.776786
CDH1,0.75,10,8,0.8,0.987953,0.90692
CR1,0.75,10,8,0.8,0.985302,0.818329
CYLD,0.75,10,8,0.8,0.978204,0.854963
HEATR5B,0.75,10,8,0.8,0.972362,0.852526
HTR3A,0.75,10,8,0.8,0.972007,0.793568
IGSF9,0.75,10,8,0.8,0.985201,0.851517
ITGA4,0.75,10,8,0.8,0.964052,0.777823
OPN5,0.75,10,8,0.8,0.959042,0.83289
PAPPA2,0.75,10,8,0.8,0.975423,0.81933
PPL,0.75,10,8,0.8,0.954021,0.760677
PPP4R4,0.75,10,8,0.8,0.946242,0.831688
SLC9C1,0.75,10,8,0.8,0.953045,0.778565
STXBP5L,0.75,10,8,0.8,0.972152,0.813297
SYDE2,0.75,10,8,0.8,0.988481,0.819614
TIMD4,0.75,10,8,0.8,0.891936,0.849726
VIRMA,0.75,10,8,0.8,0.969285,0.85009
ZNF335,0.75,10,8,0.8,0.97948,0.7918
BMS1,0.75,11,8,0.727273,0.981119,0.717596
BRWD3,0.75,11,8,0.727273,0.908325,0.703679
CDCP1,0.75,11,8,0.727273,0.96589,0.793187
COL6A2,0.75,11,8,0.727273,0.925324,0.724853
DSCAM,0.75,11,8,0.727273,0.97213,0.815964
GABRA4,0.75,11,8,0.727273,0.97074,0.697478
KCNV1,0.75,11,8,0.727273,0.939366,0.724048
KMT2A,0.75,11,8,0.727273,0.976066,0.710515
OR8K3,0.75,11,8,0.727273,0.948758,0.804078
PCDH15,0.75,11,8,0.727273,0.98694,0.699448
PCK1,0.75,11,8,0.727273,0.974858,0.742891
PHLDB2,0.75,11,8,0.727273,0.986276,0.761196
PTPRM,0.75,11,8,0.727273,0.915135,0.711476
RP1L1,0.75,11,8,0.727273,0.963946,0.768315
SCN1A,0.75,11,8,0.727273,0.920074,0.72676
SHROOM3,0.75,11,8,0.727273,0.973579,0.743856
SLC26A3,0.75,11,8,0.727273,0.986785,0.909043
VCAN,0.75,11,8,0.727273,0.983561,0.778042
WNT2,0.75,11,8,0.727273,0.964671,0.718112
XIRP1,0.75,11,8,0.727273,0.923653,0.714416
ZC3H13,0.75,11,8,0.727273,0.942609,0.759301
ZNF99,0.75,11,8,0.727273,0.988739,0.776364
ASXL1,0.75,12,8,0.666667,0.96902,0.721826
BSN,0.75,12,8,0.666667,0.948214,0.667188
C9orf131,0.75,12,8,0.666667,0.957738,0.733234
CACNA1D,0.75,12,8,0.666667,0.92252,0.691119
CD33,0.75,12,8,0.666667,0.969811,0.7594
CEMIP2,0.75,12,8,0.666667,0.875833,0.650883
CHGB,0.75,12,8,0.666667,0.916739,0.715199
COL6A6,0.75,12,8,0.666667,0.902983,0.695471
CPS1,0.75,12,8,0.666667,0.931009,0.772434
EGF,0.75,12,8,0.666667,0.844254,0.709864
FLNB,0.75,12,8,0.666667,0.935461,0.678569
FLT4,0.75,12,8,0.666667,0.894374,0.721102
GABRB2,0.75,12,8,0.666667,0.857361,0.713086
GFRAL,0.75,12,8,0.666667,0.932459,0.708024
KCNQ5,0.75,12,8,0.666667,0.877219,0.685223
MDN1,0.75,12,8,0.666667,0.939521,0.673072
MYO1D,0.75,12,8,0.666667,0.864666,0.701899
NLRP8,0.75,12,8,0.666667,0.972553,0.730867
PLCL1,0.75,12,8,0.666667,0.883325,0.726826
PTPRD,0.75,12,8,0.666667,0.939904,0.641195
SEMA3C,0.75,12,8,0.666667,0.948398,0.702075
SLC1A6,0.75,12,8,0.666667,0.974383,0.723505
STK31,0.75,12,8,0.666667,0.976976,0.777443
TLN1,0.75,12,8,0.666667,0.937723,0.758486
AKAP13,0.75,13,8,0.615385,0.901208,0.67249
AL592490.1,0.75,13,8,0.615385,0.977677,0.736753
CIITA,0.75,13,8,0.615385,0.830393,0.595308
COL4A6,0.75,13,8,0.615385,0.919258,0.593377
FAM47B,0.75,13,8,0.615385,0.829055,0.618346
GLI2,0.75,13,8,0.615385,0.934778,0.578681
GON4L,0.75,13,8,0.615385,0.898168,0.621131
MYCBP2,0.75,13,8,0.615385,0.937809,0.671745
NTSR1,0.75,13,8,0.615385,0.92937,0.657776
PCDHA8,0.75,13,8,0.615385,0.970635,0.640529
PCDHB5,0.75,13,8,0.615385,0.869054,0.716205
PDE4DIP,0.75,13,8,0.615385,0.964389,0.745191
STAG2,0.75,13,8,0.615385,0.887295,0.573957
TENM4,0.75,13,8,0.615385,0.92877,0.688706
UGT2B4,0.75,13,8,0.615385,0.86558,0.655104
FLNC,0.75,14,8,0.571429,0.930014,0.665383
HIVEP1,0.75,14,8,0.571429,0.921996,0.637396
MYO1B,0.75,14,8,0.571429,0.877916,0.625728
NRXN1,0.75,14,8,0.571429,0.954045,0.597194
SCN7A,0.75,14,8,0.571429,0.89869,0.703244
SIPA1L2,0.75,14,8,0.571429,0.861637,0.726096
SIPA1L3,0.75,14,8,0.571429,0.864576,0.561961
SMARCA2,0.75,14,8,0.571429,0.86929,0.604385
SSPOP,0.75,14,8,0.571429,0.915776,0.622783
TG,0.75,14,8,0.571429,0.94131,0.67023
TNC,0.75,14,8,0.571429,0.937941,0.612752
TPTE2,0.75,14,8,0.571429,0.807097,0.588636
ZNF407,0.75,14,8,0.571429,0.897606,0.61705
COL5A1,0.75,15,8,0.533333,0.85239,0.56299
KDR,0.75,15,8,0.533333,0.974557,0.676758
ANK3,0.75,16,8,0.5,0.747703,0.558503
BPTF,0.75,16,8,0.5,0.637444,0.553321
CDH9,0.75,16,8,0.5,0.7322,0.546308
RBM47,0.75,16,8,0.5,0.751637,0.611935
SIM1,0.75,16,8,0.5,0.729013,0.604846
ATP10B,0.75,17,8,0.470588,0.732823,0.538164
CHD5,0.75,17,8,0.470588,0.51861,0.524008
LAMA3,0.75,17,8,0.470588,0.378249,0.488838
MUC2,0.75,17,8,0.470588,0.688625,0.570844
RP1,0.75,17,8,0.470588,0.507231,0.572389
ARFGEF3,0.75,18,8,0.444444,0.585478,0.517268
ZNF831,0.75,19,8,0.421053,0.195185,0.476348
MYO15A,0.75,20,8,0.4,0.318979,0.457002
TRPM2,0.75,20,8,0.4,0.457443,0.513621
PCDHA12,0.75,21,8,0.380952,0.708176,0.610822
MROH2B,0.75,22,8,0.363636,0.32984,0.455727
CFAP47,0.75,24,8,0.333333,0.005057,0.366499
RB1,0.75,28,8,0.285714,5e-06,0.288973
ADAMTS10,0.75,7,7,1.0,0.940493,0.940836
AKAP11,0.75,7,7,1.0,0.990171,0.980767
AMPH,0.75,7,7,1.0,0.990821,0.967731
AXL,0.75,7,7,1.0,0.987257,0.984571
CLDN4,0.75,7,7,1.0,0.93918,0.925857
COBLL1,0.75,7,7,1.0,0.975706,0.971649
COG4,0.75,7,7,1.0,0.991351,0.964221
COL5A2,0.75,7,7,1.0,0.972749,0.949319
KIAA0753,0.75,7,7,1.0,0.991278,0.98555
MX2,0.75,7,7,1.0,0.898058,0.895173
NCAPG2,0.75,7,7,1.0,0.983127,0.948332
PLCE1,0.75,7,7,1.0,0.984652,0.952804
PYHIN1,0.75,7,7,1.0,0.990698,0.976281
SEC31A,0.75,7,7,1.0,0.986423,0.940008
SLC26A5,0.75,7,7,1.0,0.985098,0.962836
TTC30A,0.75,7,7,1.0,0.984902,0.98055
ABCB8,0.75,8,7,0.875,0.988809,0.939525
ADAM7,0.75,8,7,0.875,0.924975,0.879236
ARSK,0.75,8,7,0.875,0.953016,0.881521
C14orf39,0.75,8,7,0.875,0.964019,0.847352
CDH20,0.75,8,7,0.875,0.984596,0.935919
CDKL5,0.75,8,7,0.875,0.974028,0.840582
CEP126,0.75,8,7,0.875,0.956667,0.872501
CTAGE1,0.75,8,7,0.875,0.981602,0.851697
DIDO1,0.75,8,7,0.875,0.971303,0.841591
EYA4,0.75,8,7,0.875,0.927764,0.864739
KDM2B,0.75,8,7,0.875,0.983763,0.834826
KIR2DL4,0.75,8,7,0.875,0.981372,0.910818
KLHL13,0.75,8,7,0.875,0.96806,0.832788
LPIN1,0.75,8,7,0.875,0.985869,0.86059
